99
PID	COMMAND
1	/usr/lib/systemd/systemd
2	[kthreadd]
3	[rcu_gp]
4	[rcu_par_gp]
6	[kworker/0:0H-kblockd]
8	[mm_percpu_wq]
9	[ksoftirqd/0]
10	[rcu_sched]
11	[migration/0]
12	[watchdog/0]
13	[cpuhp/0]
15	[kdevtmpfs]
16	[netns]
17	[kauditd]
18	[khungtaskd]
19	[oom_reaper]
20	[writeback]
21	[kcompactd0]
22	[ksmd]
23	[khugepaged]
24	[crypto]
25	[kintegrityd]
26	[kblockd]
27	[tpm_dev_wq]
28	[md]
29	[edac-poller]
30	[watchdogd]
35	[kswapd0]
126	[kthrotld]
127	[acpi_thermal_pm]
128	[hwrng]
129	[kmpath_rdacd]
130	[kaluad]
131	[ipv6_addrconf]
132	[kstrp]
351	[ata_sff]
357	[scsi_eh_0]
358	[scsi_tmf_0]
359	[scsi_eh_1]
361	[scsi_tmf_1]
362	[scsi_eh_2]
363	[scsi_tmf_2]
364	[scsi_eh_3]
365	[scsi_tmf_3]
366	[scsi_eh_4]
367	[scsi_tmf_4]
369	[scsi_eh_5]
370	[scsi_tmf_5]
374	[kworker/u2:4-events_unbound]
375	[kworker/u2:5-flush-253:2]
383	[kworker/0:1H-kblockd]
437	[kdmflush]
447	[kdmflush]
480	[jbd2/dm-0-8]
481	[ext4-rsv-conver]
571	/usr/lib/systemd/systemd-journald
597	/usr/lib/systemd/systemd-udevd
630	[ttm_swap]
640	[kdmflush]
665	[jbd2/sda1-8]
666	[ext4-rsv-conver]
670	[xfsalloc]
672	[xfs_mru_cache]
674	[xfs-buf/dm-2]
675	[xfs-conv/dm-2]
676	[xfs-cil/dm-2]
677	[xfs-reclaim/dm-]
678	[xfs-log/dm-2]
679	[xfs-eofblocks/d]
680	[xfsaild/dm-2]
704	/sbin/auditd
709	[rpciod]
710	[kworker/u3:0]
712	[xprtiod]
736	/usr/sbin/sssd
737	/usr/sbin/ModemManager
739	/usr/sbin/mcelog
740	/usr/sbin/gssproxy
749	/usr/sbin/smartd
767	/usr/libexec/sssd/sssd_be
770	/usr/libexec/sssd/sssd_nss
771	/usr/libexec/platform-python
773	/usr/lib/systemd/systemd-logind
787	/usr/sbin/NetworkManager
797	/usr/sbin/sshd
800	/usr/libexec/platform-python
920	/usr/sbin/crond
922	login
925	/usr/sbin/atd
1308	/usr/lib/systemd/systemd
1313	(sd-pam)
1319	-bash
6279	[kworker/0:1-xfs-cil/dm-2]
7540	[kworker/0:2-xfs-buf/dm-2]
7890	[kworker/0:0-events_power_efficient]
7891	bash
7895	ps
7896	grep
7897	awk
